blueWins,blueFirstBlood,blueKills,blueDeaths,blueDragons,blueHeralds,blueTowersDestroyed,blueGoldDiff,redDragons,redHeralds,redTowersDestroyed,blueKDA,redKDA,visionControlDiff,CSDiff
0,0,4,13,0,0,0,-2835,1,0,0,0.6923076923076923,6.75,-10.666666666666668,-8
0,0,4,6,0,0,0,-1254,1,0,0,1.1666666666666667,4.0,-2.333333333333333,3
0,0,4,3,1,1,0,406,0,0,0,2.6666666666666665,1.5,22.25,21
1,0,6,9,0,0,0,-1020,0,0,0,1.7777777777777777,3.6666666666666665,5.0,20
0,0,4,8,0,0,0,-2472,1,0,0,1.0,5.25,-10.5,-9
1,0,8,6,1,0,0,1260,0,0,0,2.8333333333333335,1.125,-4.0,-16
0,1,7,4,0,0,0,1857,1,0,0,4.0,0.8571428571428571,0.08333333333333304,38
0,1,8,6,1,0,0,1320,0,0,0,3.5,2.125,22.0,7
0,0,3,8,1,0,0,-3282,0,0,0,0.625,6.666666666666667,2.4,8
1,1,9,4,1,0,0,2883,0,0,0,4.75,0.6666666666666666,2.5,5
1,1,5,2,1,1,0,1703,0,0,0,5.5,0.8,4.75,15
0,0,6,4,0,0,0,608,1,0,0,3.25,1.3333333333333333,-0.33333333333333304,-15
0,1,5,4,0,0,0,71,1,0,0,2.25,1.6,8.0,-14
1,0,6,4,0,0,0,275,1,0,0,2.5,1.5,32.5,-25
0,0,3,4,0,0,0,-809,1,1,0,2.25,3.6666666666666665,6.333333333333333,19
0,0,2,8,1,0,0,-2771,0,0,0,0.5,6.5,2.5,3
0,1,5,6,0,1,0,-1730,1,0,0,1.5,2.4,-15.0,-30
0,0,7,9,0,1,0,-904,1,0,0,1.3333333333333333,2.5714285714285716,5.0,35
0,0,3,6,0,1,0,-1683,1,0,0,1.0,4.0,-12.0,-19
0,0,4,11,0,0,0,-3025,1,0,0,0.6363636363636364,6.75,14.333333333333334,18
1,0,10,6,0,0,0,3004,0,0,0,3.6666666666666665,1.3,2.0,51
1,0,9,6,1,0,0,1574,0,0,0,3.8333333333333335,1.3333333333333333,3.333333333333333,-8
1,1,5,5,0,0,0,-1036,0,0,0,1.6,1.8,2.5,-16
0,1,3,4,0,1,0,16,1,0,0,1.25,2.0,-5.25,20
0,0,1,10,0,0,0,-6386,0,1,1,0.1,16.0,29.0,-84
1,1,11,2,0,0,0,5096,0,0,0,10.0,0.36363636363636365,0.916666666666667,50
1,1,8,4,1,0,1,2756,0,0,0,3.25,1.125,-9.2,15
1,0,2,3,0,1,0,-977,0,0,0,1.3333333333333333,2.0,-2.25,-50
0,0,5,5,0,0,0,-808,0,0,0,2.6,2.2,-35.333333333333336,-23
0,0,7,9,0,0,0,-1559,1,0,0,1.3333333333333333,3.142857142857143,-18.5,0
1,0,6,8,0,0,0,544,0,0,0,1.5,2.5,6.0,36
1,1,5,2,1,1,0,1381,0,0,0,3.5,0.6,3.333333333333333,-2
1,1,5,3,0,0,0,2031,1,0,0,3.3333333333333335,1.6,29.5,24
0,0,3,3,1,0,0,131,0,0,0,1.6666666666666667,1.3333333333333333,2.0,11
0,0,4,10,0,1,0,-2699,1,0,0,0.8,5.25,-7.0,22
0,1,5,7,1,0,0,-1672,0,0,0,1.7142857142857142,2.6,3.0,-50
1,1,10,6,1,0,0,1201,0,0,0,3.5,1.1,-1.25,-23
1,1,7,5,1,1,0,-108,0,0,0,2.4,1.2857142857142858,2.583333333333333,-14
0,0,10,7,0,0,1,4633,1,0,0,3.0,1.3,-8.0,67
0,0,2,7,0,0,0,-2262,1,0,0,0.2857142857142857,5.5,1.5,-13
0,0,6,7,0,0,0,-49,1,0,0,1.5714285714285714,2.8333333333333335,6.333333333333333,26
1,1,6,4,1,0,0,1687,0,1,0,2.5,1.5,-12.0,-5
1,1,9,1,1,1,0,3933,0,0,0,19.0,0.2222222222222222,36.0,24
0,0,4,10,1,0,0,-4061,0,0,0,0.7,4.0,2.0,-52
0,0,6,12,0,0,0,-4920,0,1,1,1.0833333333333333,3.8333333333333335,44.5,-72
0,0,4,5,0,0,0,-1705,0,0,0,1.2,1.5,-0.75,-27
0,1,7,8,1,0,0,105,0,1,0,1.875,1.8571428571428572,0.40000000000000036,16
1,0,3,5,0,0,0,-554,1,0,0,1.2,3.6666666666666665,3.0,12
0,1,4,5,0,0,0,-1037,1,0,0,1.6,2.5,1.15,-34
0,1,9,8,0,1,0,-1144,1,0,1,2.0,2.111111111111111,-3.3,20
1,1,5,4,0,0,0,1173,1,0,0,2.75,1.4,24.0,-17
0,1,8,2,0,0,0,3194,1,0,0,9.5,0.5,-0.5,17
0,1,2,7,1,0,0,-2622,0,0,0,0.42857142857142855,7.0,9.0,14
1,1,6,4,1,0,0,1151,0,1,0,2.5,1.1666666666666667,2.5,39
1,1,6,4,1,1,0,1463,0,0,0,3.5,2.0,13.0,31
0,0,4,6,0,0,0,-1038,1,1,0,0.8333333333333334,2.75,-0.5,-19
1,1,8,4,0,1,0,1424,0,0,0,3.75,1.125,-2.25,11
1,0,13,9,1,0,0,527,0,0,0,3.4444444444444446,1.0769230769230769,-7.5,-3
0,0,7,6,0,0,0,1807,1,1,0,3.1666666666666665,2.142857142857143,-6.15,30
0,1,11,4,0,1,0,2856,1,0,0,5.75,0.9090909090909091,40.333333333333336,17
0,0,6,6,1,0,0,-964,0,1,0,2.6666666666666665,1.5,-1.0,-37
0,0,7,8,0,1,0,-178,1,0,0,1.625,2.0,-18.142857142857142,25
1,0,9,8,1,0,0,705,0,0,0,2.0,1.7777777777777777,12.666666666666668,25
1,0,10,10,1,0,0,908,0,0,0,2.4,2.6,1.0,9
1,0,7,2,1,1,0,3558,0,0,0,9.5,0.7142857142857143,1.5,53
0,0,1,6,0,0,0,-1299,1,0,0,0.16666666666666666,9.0,3.166666666666666,32
1,0,5,8,1,0,0,-1763,0,0,0,1.5,2.8,3.25,-39
1,0,10,4,0,0,0,2547,0,0,0,5.5,0.8,3.0,8
0,0,3,10,1,0,0,-3685,0,1,0,0.5,7.666666666666667,-2.333333333333334,-4
0,1,7,11,0,0,0,-3689,1,0,0,0.9090909090909091,2.5714285714285716,38.80769230769231,-56
0,1,3,5,0,0,0,-764,1,1,0,1.0,3.6666666666666665,-4.0,30
1,1,9,2,0,0,0,3037,1,0,0,7.0,0.4444444444444444,3.333333333333333,20
1,1,7,7,0,0,1,3545,1,0,0,1.8571428571428572,2.4285714285714284,-0.08333333333333304,138
0,0,7,7,1,0,0,-1031,0,0,0,2.4285714285714284,2.0,-4.5,-58
0,0,5,10,0,0,0,-1796,1,0,0,1.1,5.0,-7.5,14
1,1,5,4,0,0,0,1626,1,0,0,3.5,1.8,5.166666666666666,30
1,0,6,8,0,1,0,832,1,0,0,2.0,3.1666666666666665,28.0,86
1,0,11,6,1,1,0,2750,0,0,0,3.6666666666666665,1.3636363636363635,-6.0,39
0,0,5,8,0,1,0,-1524,0,0,0,1.125,3.8,-5.666666666666667,30
0,1,6,8,1,0,0,-1370,0,0,0,1.0,2.8333333333333335,3.0,31
0,0,4,6,0,0,0,-1506,1,0,0,1.3333333333333333,3.25,-1.0,-23
0,0,6,7,0,0,0,-1101,1,1,0,1.1428571428571428,2.0,-0.1499999999999999,-1
0,0,8,3,0,1,0,2774,1,0,0,5.0,0.625,0.75,24
0,0,8,11,0,0,0,-1806,1,1,0,1.5454545454545454,3.0,-5.0,-4
0,0,6,4,1,0,0,1265,0,1,0,3.5,1.3333333333333333,-0.8000000000000003,33
1,0,6,14,0,0,0,-4443,1,0,0,0.7142857142857143,3.8333333333333335,0.3333333333333339,-47
0,0,3,5,0,0,0,-927,1,0,0,0.8,4.0,-0.583333333333333,28
1,1,9,5,0,0,0,1425,1,1,0,3.6,0.8888888888888888,1.333333333333333,5
1,0,6,4,1,0,0,1177,0,0,0,3.0,1.0,9.333333333333332,-4
1,1,2,7,1,0,0,-1586,0,1,0,0.5714285714285714,10.5,-4.7,20
0,0,5,10,1,1,0,-2896,0,0,0,0.8,3.2,0.5,-36
1,0,12,9,0,0,0,905,0,0,0,2.4444444444444446,1.5,-6.0,-30
0,1,9,17,0,0,0,-3887,0,0,0,1.5294117647058822,4.222222222222222,-14.0,-35
1,1,12,6,1,0,0,3413,0,0,0,4.0,1.0833333333333333,8.0,0
0,1,7,9,1,1,0,-256,0,0,0,1.3333333333333333,2.2857142857142856,-9.0,-6
1,1,7,10,0,0,0,-1820,0,0,0,1.4,3.0,-0.6857142857142855,-5
1,1,6,4,1,0,0,625,0,0,0,4.5,1.3333333333333333,-88.0,-2
0,0,2,6,0,0,0,-3628,1,0,0,0.5,5.0,-1.0,-70
0,1,5,5,0,1,0,769,1,0,0,2.4,2.2,4.833333333333334,-3
0,0,8,8,1,0,0,-576,0,1,0,2.0,1.75,2.4,8
0,0,3,9,0,0,0,-3900,1,0,0,0.5555555555555556,5.666666666666667,4.375,-53
1,0,9,8,1,0,0,-7,0,1,0,2.375,1.7777777777777777,-2.5,-34
1,1,10,7,0,0,0,1683,1,0,0,2.857142857142857,1.2,1.9999999999999996,-36
0,0,3,10,0,0,0,-4782,1,0,0,0.5,7.0,-2.25,-63
1,1,9,7,1,0,0,636,0,0,0,2.857142857142857,1.7777777777777777,33.333333333333336,-18
1,0,7,14,1,0,0,-3421,0,0,0,0.9285714285714286,3.7142857142857144,-3.0,-48
1,0,5,3,1,0,0,976,0,0,0,3.6666666666666665,1.6,-1.7999999999999998,29
0,0,6,7,0,0,0,-211,0,1,0,1.7142857142857142,2.3333333333333335,4.333333333333333,7
1,0,7,5,0,0,0,1221,0,0,0,2.6,1.4285714285714286,-1.0,22
1,0,7,1,0,0,0,2037,1,0,0,15.0,0.14285714285714285,-1.333333333333333,-35
1,1,6,3,1,0,0,817,0,0,0,5.666666666666667,1.0,-0.09999999999999964,-10
1,1,4,4,0,0,0,-137,1,0,0,2.0,1.25,10.5,-36
1,1,4,7,1,0,0,-1539,0,0,0,1.1428571428571428,4.75,0.9444444444444442,2
0,0,5,7,0,0,0,-1707,1,0,0,1.2857142857142858,3.4,-8.066666666666666,-28
1,0,6,9,1,0,0,-556,0,0,0,0.8888888888888888,3.6666666666666665,-4.0,80
1,1,9,7,1,0,0,-146,0,1,0,3.4285714285714284,1.6666666666666667,-5.333333333333333,-33
1,1,12,4,0,1,0,4083,1,0,0,5.25,0.4166666666666667,-7.5,21
1,0,5,5,0,0,0,1389,1,0,0,2.2,2.4,-29.5,12
0,0,3,4,1,0,0,-890,0,1,0,1.5,3.0,10.0,14
0,1,4,9,0,0,0,-2519,0,0,0,1.0,6.0,-2.0,-16
0,0,4,15,0,0,0,-4440,0,0,0,0.5333333333333333,7.25,77.0,-39
1,1,7,6,0,0,0,1140,1,1,0,2.3333333333333335,1.4285714285714286,9.333333333333332,69
0,1,5,7,0,0,0,-1656,0,0,0,1.0,2.0,-0.25,-58
1,0,10,5,0,0,0,2171,1,1,0,5.2,1.1,-0.8333333333333339,-7
1,1,12,4,0,0,0,3841,0,0,0,6.75,0.5833333333333334,-5.0,-6
1,0,4,11,0,1,1,-885,1,0,0,0.8181818181818182,6.5,3.666666666666666,20
0,0,3,8,1,1,0,-2752,0,0,0,0.875,5.666666666666667,-4.5,-42
1,1,13,9,0,0,0,2081,0,0,0,3.888888888888889,1.5384615384615385,-1.416666666666667,-6
0,1,4,3,0,0,0,453,0,0,0,2.6666666666666665,1.5,4.3,25
0,1,3,1,1,0,0,830,0,1,0,6.0,0.6666666666666666,-16.25,4
0,0,8,8,0,0,0,94,0,0,0,1.375,1.75,-3.25,35
0,0,8,6,1,1,0,-722,0,0,0,3.3333333333333335,1.5,63.5,-37
0,0,6,7,0,1,0,-1491,1,0,0,2.2857142857142856,3.0,-34.4,2
0,0,6,14,0,0,0,-3109,1,1,0,0.6428571428571429,5.0,-3.0,19
0,1,7,11,0,0,0,537,1,0,0,1.4545454545454546,3.142857142857143,-0.25,57
1,0,13,5,1,1,0,4079,0,0,0,4.6,0.8461538461538461,10.666666666666668,45
1,0,10,5,0,0,1,4006,0,0,0,4.6,1.1,85.33333333333333,6
0,1,3,10,0,0,0,-3582,1,1,0,0.7,6.666666666666667,10.0,-61
1,0,6,6,0,0,0,-355,1,0,0,1.8333333333333333,1.8333333333333333,0.583333333333333,-11
1,1,7,6,0,0,1,3464,0,0,0,2.5,1.7142857142857142,14.272727272727273,53
1,1,9,5,1,0,0,2217,0,1,0,3.6,0.8888888888888888,10.0,24
1,1,8,3,1,1,0,3049,0,0,0,5.666666666666667,0.625,-8.666666666666668,6
1,0,5,6,1,0,0,-305,0,0,0,1.5,2.6,-6.0,3
0,0,4,2,1,0,0,1325,0,1,0,5.0,0.75,13.0,10
1,1,6,6,0,0,0,-53,1,0,0,2.6666666666666665,2.5,-2.75,10
0,0,5,9,0,0,0,-2865,1,0,0,1.1111111111111112,3.2,-7.25,-33
0,1,7,7,0,0,0,-93,1,0,0,1.7142857142857142,2.142857142857143,-23.0,0
0,1,6,7,0,0,0,-420,1,0,0,1.8571428571428572,2.8333333333333335,3.333333333333333,9
1,1,7,3,1,0,0,5008,0,1,0,4.333333333333333,0.8571428571428571,-6.333333333333334,93
0,1,4,6,0,0,0,-2074,1,1,0,0.8333333333333334,2.75,-3.166666666666667,-11
1,0,5,4,0,1,0,-3,0,0,0,3.0,2.2,0.666666666666667,13
0,1,5,5,0,0,0,-837,1,1,0,2.0,2.4,-5.5,-36
1,1,5,5,1,0,0,510,0,1,0,2.2,2.2,-9.0,-3
0,0,6,11,1,0,0,-3549,0,0,0,1.2727272727272727,3.8333333333333335,-0.666666666666667,-31
1,0,6,6,0,0,0,272,1,0,0,2.0,2.1666666666666665,-5.5,29
1,1,9,5,0,0,0,2187,0,0,0,3.6,1.1111111111111112,-16.5,23
0,0,2,8,0,0,0,-4907,0,1,1,0.75,9.5,-0.2857142857142856,-27
1,1,5,4,1,0,0,63,0,0,0,2.0,1.8,8.666666666666668,28
1,0,4,8,0,1,0,-2132,1,0,0,1.25,5.25,-6.5,13
0,0,5,6,0,1,0,-976,1,0,0,1.6666666666666667,2.8,2.25,-9
0,1,3,5,0,0,0,-1342,1,0,0,1.2,3.6666666666666665,5.333333333333334,-24
1,1,8,2,1,0,0,2304,0,0,0,6.5,0.5,-8.666666666666668,17
1,0,10,2,0,0,0,4219,1,0,0,10.5,0.3,-8.833333333333334,13
0,1,6,7,0,0,0,-2049,0,0,0,1.8571428571428572,2.6666666666666665,-2.9047619047619047,-64
0,0,1,5,0,0,0,-4179,1,0,0,0.6,9.0,-1.0,-68
0,0,6,6,0,0,0,-66,1,0,0,2.5,1.5,0.6857142857142855,8
1,0,9,7,1,1,0,510,0,0,0,3.142857142857143,1.2222222222222223,11.333333333333332,-33
0,1,4,3,0,1,0,2591,1,0,0,2.0,1.0,2.5,73
0,1,4,12,0,0,0,-3772,1,0,1,0.75,8.0,1.0,14
0,1,6,6,1,0,0,965,0,0,0,2.8333333333333335,2.1666666666666665,-4.5,-1
0,0,1,5,0,0,0,-3468,1,1,0,0.4,12.0,-8.5,-72
1,1,14,3,0,0,0,6153,0,0,0,9.666666666666666,0.5,3.65,25
0,0,0,5,0,0,0,-2216,1,0,0,0.0,13.0,-48.5,4
0,0,6,11,1,0,0,-2308,0,0,0,0.9090909090909091,4.166666666666667,-1.9166666666666665,-4
1,1,6,6,0,1,0,1917,1,0,0,1.8333333333333333,1.5,5.0,19
0,0,4,7,0,0,0,-1676,1,0,0,1.4285714285714286,3.75,0.25,-8
1,1,10,5,1,0,0,2709,0,0,0,3.6,1.2,5.0,16
0,0,6,8,0,0,0,-1304,1,0,0,1.375,3.3333333333333335,-5.166666666666666,-4
1,1,8,5,1,0,0,1824,0,0,0,3.6,1.25,38.5,6
0,0,11,8,0,0,0,229,1,1,0,3.25,1.5454545454545454,0.9714285714285715,-44
1,0,4,4,0,1,0,1507,0,0,0,2.0,1.25,-7.0,39
0,0,1,5,1,0,0,-1787,0,0,0,0.8,9.0,-1.666666666666667,0
0,0,8,7,0,0,0,815,0,0,0,1.5714285714285714,1.375,-0.5,49
0,0,5,14,1,0,0,-4767,0,0,0,0.7857142857142857,4.6,5.5,-67
0,0,4,6,0,0,0,-1861,1,0,0,1.6666666666666667,4.0,-1.75,-62
0,0,1,14,1,0,0,-7655,0,0,1,0.14285714285714285,32.0,2.0,-36
1,0,4,9,0,0,0,-2058,0,0,0,0.7777777777777778,5.0,-8.666666666666666,-10
1,0,5,5,1,0,0,-575,0,0,0,2.4,1.6,10.0,-24
0,1,4,2,0,1,0,1765,0,0,0,3.0,0.75,4.5,36
0,1,5,5,0,1,0,540,1,0,0,2.6,2.6,3.5,21
1,0,12,9,0,0,0,862,1,0,0,3.0,1.6666666666666667,-1.666666666666667,-18
1,1,6,2,1,0,0,2761,0,0,0,7.5,0.5,30.0,24
0,0,3,8,0,0,0,-1249,1,0,0,0.75,4.333333333333333,-38.5,30
1,0,5,5,0,0,0,-75,1,0,0,1.6,2.0,0.25,35
1,1,14,5,1,0,0,5805,0,0,0,5.2,0.7857142857142857,12.333333333333332,72
0,0,5,7,0,1,0,-810,1,0,0,1.1428571428571428,3.6,1.1500000000000004,-7
0,1,5,4,0,1,0,1034,0,0,0,2.75,1.2,25.333333333333332,2
1,1,3,7,0,0,0,-2595,0,1,0,0.7142857142857143,4.333333333333333,-14.75,-30
1,0,1,2,0,0,0,-334,1,0,0,2.0,3.0,18.8,12
1,1,11,4,1,1,1,3806,0,0,0,4.75,0.7272727272727273,8.0,2
0,0,2,7,0,0,0,-2711,0,0,0,0.5714285714285714,7.0,12.666666666666668,-31
1,1,8,4,0,0,0,2551,0,0,0,4.0,1.375,7.0,49
0,1,6,3,1,0,0,66,0,0,0,5.0,1.0,13.583333333333334,-53
0,0,10,5,1,0,0,2242,0,0,0,4.6,0.8,4.0,-7
0,0,2,5,0,1,0,-893,0,0,0,0.8,6.5,-3.25,28
0,0,2,5,0,0,0,-1208,1,0,0,0.8,6.5,16.0,-5
1,0,12,4,0,0,0,4003,1,0,0,5.75,0.75,7.333333333333333,40
1,0,8,6,1,0,0,819,0,0,0,2.5,1.875,-0.9333333333333331,25
1,1,9,3,0,0,0,4009,0,1,0,6.333333333333333,0.4444444444444444,73.5,50
0,0,5,6,1,0,0,-259,0,0,0,1.6666666666666667,2.4,-4.0,-32
0,1,9,6,0,0,0,1728,0,0,0,3.6666666666666665,1.4444444444444444,5.5,16
0,0,5,5,0,1,0,474,1,0,0,1.6,2.2,4.5,46
0,1,9,3,0,0,0,1863,0,0,0,5.666666666666667,0.8888888888888888,1.0,-19
0,0,1,7,0,0,0,-3846,1,0,0,0.2857142857142857,14.0,3.75,-57
0,0,1,3,0,0,0,-2373,1,0,0,0.6666666666666666,8.0,-4.0,-52
1,0,8,7,1,0,0,218,0,0,0,2.5714285714285716,1.5,-4.0,-11
1,1,6,4,0,0,0,2208,0,0,0,3.25,1.5,21.0,39
0,0,5,7,1,0,0,-1440,0,0,0,1.0,3.2,2.5,-12
0,0,10,12,1,0,0,-845,0,0,0,1.9166666666666667,1.9,-1.5999999999999996,-56
0,0,5,9,0,0,0,-2635,1,0,0,1.1111111111111112,4.2,-6.666666666666667,-64
1,0,6,1,1,1,0,2817,0,0,0,14.0,0.3333333333333333,8.75,12
1,0,9,5,1,1,0,2812,0,0,0,2.6,0.8888888888888888,1.166666666666667,12
0,0,1,6,0,0,0,-3864,1,0,0,0.5,16.0,-3.75,-49
1,0,5,6,1,0,0,334,0,0,0,1.8333333333333333,2.2,-1.0,19
1,1,7,6,1,0,0,1909,0,0,0,2.0,2.0,4.0,54
0,1,7,7,0,0,0,-346,0,0,0,1.8571428571428572,2.0,-19.0,4
1,1,14,4,0,0,0,5802,1,0,0,7.0,0.6428571428571429,0.4666666666666668,86
1,1,6,4,1,0,0,1085,0,0,0,2.25,1.0,-5.0,7
0,1,4,11,1,0,0,-2383,0,0,0,0.5454545454545454,4.5,28.0,12
1,0,8,9,0,1,0,306,0,0,0,1.8888888888888888,2.375,6.428571428571429,18
0,1,5,7,0,0,0,-1568,1,0,0,1.7142857142857142,3.0,-5.7,-26
1,0,5,7,1,0,0,-1419,0,1,0,1.1428571428571428,4.0,-4.5,11
1,1,10,6,0,1,0,2263,1,0,0,3.0,1.1,23.4,1
1,1,6,2,0,0,0,1374,1,0,0,7.5,0.6666666666666666,0.0,5
1,0,14,4,1,0,0,4301,0,0,0,8.75,0.5714285714285714,-4.199999999999999,11
1,1,9,4,0,0,0,3905,0,0,0,3.75,0.7777777777777778,-10.666666666666668,41
1,0,3,8,0,0,0,-2919,1,0,0,0.875,5.666666666666667,-0.5,-22
1,1,6,0,1,0,0,2923,0,0,0,14.0,0.0,-4.357142857142858,34
0,0,4,7,0,0,0,-1059,1,1,0,1.0,4.0,-2.75,2
0,0,3,5,0,1,0,-406,1,0,0,1.2,4.0,-2.0,31
1,0,7,3,1,0,0,1143,0,0,0,4.666666666666667,0.7142857142857143,5.0,6
1,0,11,9,0,0,0,736,1,0,0,2.6666666666666665,1.6363636363636365,23.5,32
0,1,2,11,0,0,0,-4816,1,0,0,0.45454545454545453,11.5,-2.0,-43
1,0,11,6,1,1,0,3977,0,0,0,4.0,1.6363636363636365,-5.4,53
1,0,11,7,0,0,0,3026,1,0,0,3.5714285714285716,1.3636363636363635,5.0,43
0,0,4,12,1,0,0,-4262,0,0,0,0.3333333333333333,6.5,5.666666666666667,-23
0,1,4,1,0,1,1,2476,1,0,0,8.0,0.25,-6.0,-28
0,0,3,9,0,0,0,-3545,1,1,0,0.6666666666666666,6.333333333333333,-12.0,-21
0,0,4,9,0,1,0,-4324,1,0,0,1.0,5.5,-4.666666666666667,-46
1,0,5,6,1,0,0,-496,0,0,0,1.8333333333333333,2.2,2.5,22
0,0,3,5,0,0,0,-1620,1,0,0,1.6,3.6666666666666665,3.333333333333333,-9
1,1,6,10,0,0,0,-1334,1,0,0,1.4,3.6666666666666665,-0.16666666666666696,7
0,1,9,8,0,0,0,-796,0,0,0,1.75,2.0,-11.5,-33
1,1,6,2,1,0,0,1398,0,0,0,4.5,0.8333333333333334,-3.5000000000000004,-11
1,1,5,3,0,0,0,3005,0,0,0,3.3333333333333335,1.4,4.0,63
0,1,3,8,0,0,0,-3156,0,0,0,0.625,4.666666666666667,0.0,-30
1,0,3,5,1,1,0,-473,0,0,0,1.2,4.0,-4.5,31
0,0,5,10,0,0,0,-3397,0,1,0,0.9,4.4,1.5,-42
0,0,6,9,0,0,0,-1937,1,0,0,1.2222222222222223,3.5,4.75,-13
1,1,10,4,0,0,0,3765,0,0,0,5.0,0.7,16.0,26
0,1,5,2,1,0,0,384,0,1,0,5.0,1.0,-3.666666666666667,-22
1,1,11,5,1,0,0,2708,0,0,0,4.6,0.8181818181818182,-12.0,-14
0,1,4,8,0,0,0,-2427,0,0,0,0.875,3.75,11.0,-25
1,1,6,3,1,0,0,1901,0,0,0,4.333333333333333,0.8333333333333334,-6.0,11
1,0,10,5,1,0,0,2480,0,1,0,5.0,1.3,22.0,34
0,0,1,10,0,1,0,-3581,1,0,0,0.3,25.0,-4.333333333333334,-8
1,1,10,5,1,1,0,2911,0,0,0,4.8,1.0,7.916666666666666,-9
0,0,1,4,0,1,0,-1245,1,0,0,0.75,8.0,-1.333333333333333,-20
0,0,8,6,1,0,0,166,0,1,0,2.6666666666666665,1.5,8.0,0
0,0,1,6,0,0,0,-6309,0,0,1,0.3333333333333333,11.0,10.833333333333334,-93
0,0,5,11,0,0,0,-2047,1,0,0,0.8181818181818182,3.2,-125.0,-11
0,1,3,4,0,0,0,-1464,1,0,0,2.25,2.6666666666666665,5.5,-32
1,1,5,3,1,1,0,874,0,0,0,3.0,1.4,-6.5,2
0,1,2,5,1,0,0,-627,0,0,0,1.0,7.0,-2.25,26
0,0,3,3,0,0,0,-334,0,0,0,2.3333333333333335,2.0,1.333333333333333,-16
0,1,7,8,1,0,0,449,0,0,0,1.5,3.0,-1.666666666666667,67
0,0,6,9,0,0,0,-780,0,0,0,1.3333333333333333,3.8333333333333335,2.5,26
0,0,4,6,0,1,0,-205,0,0,0,1.3333333333333333,3.25,5.5,50
0,0,2,3,0,0,0,-1731,0,0,0,1.6666666666666667,3.0,12.0,-38
0,0,10,9,1,0,0,947,0,0,0,2.111111111111111,2.0,-12.166666666666666,30
0,1,6,7,0,0,0,-713,1,0,0,2.2857142857142856,2.0,-0.666666666666667,-5
1,1,3,4,1,0,0,1171,0,0,0,1.25,2.3333333333333335,-5.5,26
0,1,5,7,0,0,0,-459,1,0,0,1.8571428571428572,3.2,-11.0,7
1,1,8,2,0,0,0,2673,1,0,0,10.0,0.75,5.833333333333334,-27
1,1,9,7,1,0,0,-251,0,0,0,2.7142857142857144,1.1111111111111112,2.25,-26
0,1,5,2,0,0,0,534,1,1,0,5.0,0.8,-0.25,-41
0,0,2,8,1,0,0,-4005,0,0,0,0.5,7.5,-1.8666666666666671,-47
1,1,2,4,1,1,0,-318,0,0,0,0.75,4.5,-3.5,43
0,1,8,5,0,1,0,2682,1,0,0,3.0,1.25,4.5,47
0,1,4,3,1,0,0,2092,0,0,0,3.0,1.25,4.9,52
1,0,10,7,0,0,0,2300,0,0,0,2.7142857142857144,1.3,-10.0,50
1,1,6,3,1,0,0,2642,0,0,0,3.3333333333333335,1.3333333333333333,-3.0,43
1,1,5,4,0,0,0,2833,1,0,0,2.75,1.2,8.0,43
0,1,8,8,0,0,0,-336,1,0,0,2.125,2.125,9.333333333333332,-31
0,0,1,8,1,0,0,-5136,0,0,1,0.375,15.0,-2.0,-66
1,0,13,7,0,0,0,1872,0,0,0,3.4285714285714284,1.3846153846153846,0.5,27
0,0,11,13,1,0,0,-1048,0,1,1,1.8461538461538463,2.727272727272727,0.25,-3
